polygon_id,lat,lng,title,color,fill_color,description
thailand-sugar,21,100,"Thailand (modern borders) — #2 world exporter",#2E7D32,#2E7D3233,"Modern political border. 5% of world cane sugar. World's #2 exporter after Brazil."
thailand-sugar,21,105,"Thailand (modern borders) — #2 world exporter",#2E7D32,#2E7D3233,""
thailand-sugar,13,103,"Thailand (modern borders) — #2 world exporter",#2E7D32,#2E7D3233,""
thailand-sugar,6,100,"Thailand (modern borders) — #2 world exporter",#2E7D32,#2E7D3233,""
thailand-sugar,9,99,"Thailand (modern borders) — #2 world exporter",#2E7D32,#2E7D3233,""
thailand-sugar,16,99,"Thailand (modern borders) — #2 world exporter",#2E7D32,#2E7D3233,""
australia-queensland-sugar,-10,142,"Australia / Queensland (modern borders) — sugar coast",#2E7D32,#2E7D3233,"Modern political border. Queensland's northeast coast from Mossman to Bundaberg. Major cane sugar exporter to East Asian markets."
australia-queensland-sugar,-10,150,"Australia / Queensland (modern borders) — sugar coast",#2E7D32,#2E7D3233,""
australia-queensland-sugar,-25,154,"Australia / Queensland (modern borders) — sugar coast",#2E7D32,#2E7D3233,""
australia-queensland-sugar,-25,145,"Australia / Queensland (modern borders) — sugar coast",#2E7D32,#2E7D3233,""
europe-beet-belt,50,0,"Europe (modern borders) — sugar beet belt",#2E7D32,#2E7D3233,"Modern political borders. Temperate beet sugar zone — France, Germany, Poland, Ukraine, Russia. Emerged after 1806 Napoleonic Continental System; ended European dependency on Caribbean cane sugar."
europe-beet-belt,58,25,"Europe (modern borders) — sugar beet belt",#2E7D32,#2E7D3233,""
europe-beet-belt,56,40,"Europe (modern borders) — sugar beet belt",#2E7D32,#2E7D3233,""
europe-beet-belt,48,50,"Europe (modern borders) — sugar beet belt",#2E7D32,#2E7D3233,""
europe-beet-belt,43,40,"Europe (modern borders) — sugar beet belt",#2E7D32,#2E7D3233,""
europe-beet-belt,44,20,"Europe (modern borders) — sugar beet belt",#2E7D32,#2E7D3233,""
europe-beet-belt,47,8,"Europe (modern borders) — sugar beet belt",#2E7D32,#2E7D3233,""
europe-beet-belt,48,-2,"Europe (modern borders) — sugar beet belt",#2E7D32,#2E7D3233,""
